Epochs,Iterations,Loss
1,10,2.3112751722335814
1,20,1.8164693593978882
1,30,1.556008219718933
1,40,1.472933053970337
1,50,1.5146012663841248
1,60,1.4495767831802369
1,70,1.3731195211410523
1,80,1.394021248817444
1,90,1.3961325645446778
1,100,1.3256657660007476
1,110,1.4814834594726562
1,120,1.4180341720581056
1,130,1.3487529754638672
1,140,1.397168481349945
1,150,1.3652567267417908
1,160,1.2422388792037964
1,170,1.2280920803546906
1,180,1.2986872732639312
1,190,1.296178901195526
1,200,1.356038248538971
1,210,1.2599169075489045
1,220,1.0742717385292053
1,230,1.1613659858703613
1,240,1.1561445772647858
1,250,1.1933733940124511
1,260,1.0283516645431519
1,270,1.371082419157028
1,280,1.353362852334976
1,290,1.0967274487018586
1,300,1.0439810693264007
1,310,1.1129419207572937
1,320,1.3301158905029298
1,330,1.364683836698532
1,340,1.1471571624279022
1,350,1.203229421377182
1,360,1.21383016705513
1,370,1.1018269121646882
1,380,1.1500921964645385
1,390,1.067275696992874
1,400,1.1193863093852996
1,410,1.1574218690395355
1,420,1.1634322464466096
1,430,1.1682446658611298
1,440,1.1016904294490815
1,450,1.085304194688797
1,460,1.1932502210140228
1,470,1.1923696219921112
1,480,1.1491723001003264
1,490,1.197913831472397
1,500,1.1633833944797516
1,510,1.2122853994369507
1,520,1.255096983909607
1,530,1.1944149732589722
1,540,1.096864438056946
1,550,1.245999813079834
1,560,1.2113764047622682
1,570,1.277405846118927
1,580,1.0546433210372925
1,590,1.154822152853012
1,600,1.0576290667057038
1,610,1.0601631462574006
1,620,1.3102747261524201
1,630,1.2357233226299287
1,640,1.183574265241623
1,650,1.2414155781269074
1,660,0.9731945216655731
1,670,1.0351593017578125
1,680,1.2063786745071412
1,690,1.0255529403686523
1,700,1.0405094981193543
1,710,1.31246719956398
1,720,1.2669639348983766
1,730,1.038924467563629
1,740,1.0010653138160706
1,750,1.066784679889679
1,760,1.1412947356700898
1,770,1.0836042761802673
1,780,1.0003400802612306
1,790,1.0020588397979737
1,800,1.147218757867813
1,810,1.1772848784923553
1,820,1.1438331484794617
1,830,1.142865490913391
1,840,1.2014100193977355
1,850,1.0897650957107543
1,860,1.2358529090881347
1,870,1.0800279557704926
1,880,0.982335877418518
1,890,1.1558142364025117
1,900,1.0529607892036439
1,910,1.1182155191898346
1,920,1.0997610211372375
1,930,1.0827788531780242
1,940,1.1269023060798644
1,950,1.2083738148212433
1,960,1.0396581828594207
1,970,1.1451110601425172
1,980,0.9186595976352692
1,990,1.1122605144977569
1,1000,1.3074496746063233
1,1010,1.181175911426544
1,1020,1.1306859791278838
1,1030,1.067504096031189
1,1040,1.1831043243408204
1,1050,1.1411633014678955
1,1060,1.2988711953163148
1,1070,1.0659657180309297
1,1080,1.0878128468990327
1,1090,1.1808297753334045
1,1100,1.2070799946784974
1,1110,1.0654962718486787
1,1120,1.0929430902004242
1,1130,1.015888947248459
1,1140,1.1621914982795716
1,1150,1.1341757655143738
1,1160,1.212439912557602
1,1170,0.9645105421543121
1,1180,1.1836133122444152
1,1190,1.032794827222824
1,1200,1.0917410910129548
1,1210,1.1871988356113434
1,1220,1.1671818912029266
1,1230,1.1006903946399689
1,1240,1.1010999083518982
1,1250,1.2360603988170624
1,1260,0.9259990274906158
1,1270,1.0798399448394775
1,1280,1.0659010529518127
1,1290,1.2683667302131654
1,1300,0.9645191431045532
1,1310,1.053591787815094
1,1320,1.2420504570007325
1,1330,1.178840845823288
1,1340,1.0955230653285981
1,1350,1.1372999250888824
1,1360,1.201432353258133
1,1370,1.16066717505455
1,1380,1.153160697221756
1,1390,1.0898594617843629
1,1400,1.1011638462543487
1,1410,1.2477149486541748
1,1420,1.1906734645366668
1,1430,1.106016606092453
1,1440,1.2238797903060914
1,1450,1.1116019666194916
1,1460,1.0466239035129548
1,1470,1.1677581191062927
1,1480,1.1196873545646668
1,1490,1.1483067333698274
1,1500,1.0396879225969315
1,1510,1.1256430685520171
1,1520,0.983432286977768
1,1530,0.905800211429596
1,1540,1.190894639492035
1,1550,1.0136733263731004
1,1560,0.9721038460731506
1,1570,1.200234854221344
1,1580,1.2118386447429657
1,1590,1.1189910411834716
1,1600,1.0916177392005921
1,1610,1.0169032752513885
2,1620,1.0793837785720826
2,1630,1.0495277404785157
2,1640,1.0565627276897431
2,1650,1.1768947184085845
2,1660,1.158467161655426
2,1670,0.9579625189304352
2,1680,1.0242484271526338
2,1690,1.1054661512374877
2,1700,1.1232441067695618
2,1710,0.9550566494464874
2,1720,1.0241030752658844
2,1730,1.0623715579509736
2,1740,0.9593300759792328
2,1750,1.0056111872196198
2,1760,1.0195848941802979
2,1770,1.1111372590065003
2,1780,0.920910432934761
2,1790,1.0600787103176117
2,1800,1.033326905965805
2,1810,1.0873405992984773
2,1820,0.9221577227115632
2,1830,1.06260284781456
2,1840,1.1972196519374847
2,1850,1.1117328703403473
2,1860,1.001989483833313
2,1870,0.951984578371048
2,1880,1.1865982115268707
2,1890,1.1048568606376648
2,1900,1.0845016181468963
2,1910,1.0449787378311157
2,1920,1.1236152708530427
2,1930,1.0894437909126282
2,1940,1.072869324684143
2,1950,1.1287123560905457
2,1960,1.0103090167045594
2,1970,1.019963812828064
2,1980,1.1097880721092224
2,1990,0.926649135351181
2,2000,1.1523702561855316
2,2010,0.9787433445453644
2,2020,1.1121122777462005
2,2030,1.0583805978298186
2,2040,0.9612740397453308
2,2050,1.0101967811584474
2,2060,1.1178808510303497
2,2070,0.9963927805423737
2,2080,1.0686447083950044
2,2090,1.1211503505706788
2,2100,0.9725436210632324
2,2110,1.0557544946670532
2,2120,0.9926689624786377
2,2130,1.2067605197429656
2,2140,1.17340589761734
2,2150,0.9948169410228729
2,2160,1.1241758048534394
2,2170,1.0311396300792695
2,2180,0.9959534972906112
2,2190,1.1310264110565185
2,2200,1.0667536079883575
2,2210,1.0154990017414094
2,2220,1.1356114268302917
2,2230,1.125957542657852
2,2240,0.9697088897228241
2,2250,0.8934212446212768
2,2260,1.1564071953296662
2,2270,1.0501128375530242
2,2280,1.0441154301166535
2,2290,1.0263844668865203
2,2300,1.099344652891159
2,2310,1.0570120573043824
2,2320,1.0474617660045624
2,2330,1.1421350538730621
2,2340,1.1447552025318146
2,2350,1.0926689684391022
2,2360,0.9957906991243363
2,2370,1.0720124006271363
2,2380,0.9779795348644257
2,2390,1.1297653496265412
2,2400,1.0202712714672089
2,2410,0.9495059520006179
2,2420,0.8676647841930389
2,2430,1.0539877951145171
2,2440,1.0682015895843506
2,2450,0.9826710045337677
2,2460,0.9664034247398376
2,2470,1.1068551540374756
2,2480,0.958322936296463
2,2490,0.9819619834423066
2,2500,1.0799114644527434
2,2510,0.98935467004776
2,2520,1.0581291258335113
2,2530,0.867859011888504
2,2540,1.036918967962265
2,2550,1.0945660412311553
2,2560,0.9210525393486023
2,2570,0.9385285079479218
2,2580,1.1425574243068695
2,2590,0.9636966168880463
2,2600,1.0376837134361268
2,2610,0.9873959124088287
2,2620,1.045747125148773
2,2630,1.0370612382888793
2,2640,1.0976423144340515
2,2650,1.0561442375183105
2,2660,0.9278154671192169
2,2670,1.0403407275676728
2,2680,1.1850408434867858
2,2690,1.06537806391716
2,2700,0.958768504858017
2,2710,0.851299250125885
2,2720,1.0794182956218719
2,2730,1.063982230424881
2,2740,1.06689572930336
2,2750,1.0080352485179902
2,2760,0.9303437292575836
2,2770,0.9398512423038483
2,2780,1.1824164688587189
2,2790,1.1328213334083557
2,2800,1.1008992850780488
2,2810,0.9936695694923401
2,2820,1.1435093462467194
2,2830,0.8881702065467835
2,2840,0.8535916328430175
2,2850,0.9235282242298126
2,2860,1.029307836294174
2,2870,0.7910460293292999
2,2880,1.16584193110466
2,2890,1.209321540594101
2,2900,1.0042119085788728
2,2910,1.0288282990455628
2,2920,0.8655241906642914
2,2930,1.1271536350250244
2,2940,1.1195606648921967
2,2950,1.0193322956562043
2,2960,0.9478523313999176
2,2970,1.1144675672054292
2,2980,1.1190766513347625
2,2990,1.0104857206344604
2,3000,0.9909065425395965
2,3010,1.1280397117137908
2,3020,0.864547210931778
2,3030,0.9657229244709015
2,3040,1.1429648518562316
2,3050,1.109921669960022
2,3060,1.0137675762176515
2,3070,1.1971519052982331
2,3080,1.2352425515651704
2,3090,0.982839697599411
2,3100,0.8481322884559631
2,3110,1.047543278336525
2,3120,1.0417740166187286
2,3130,1.0216552197933197
2,3140,0.9335019528865814
2,3150,1.0796201050281524
2,3160,1.0450339913368225
2,3170,1.1584612846374511
2,3180,0.8946189463138581
2,3190,0.977791965007782
2,3200,1.0480035245418549
2,3210,1.0100999295711517
2,3220,1.047952276468277
3,3230,1.071499902009964
3,3240,1.0297784864902497
3,3250,1.0557527482509612
3,3260,0.970366433262825
3,3270,1.0649811804294587
3,3280,0.9622309923171997
3,3290,0.9421398341655731
3,3300,0.8765691220760345
3,3310,0.8769841611385345
3,3320,0.8984285891056061
3,3330,1.0776137113571167
3,3340,1.1385425090789796
3,3350,1.023353672027588
3,3360,0.9207873940467834
3,3370,1.0768983006477355
3,3380,1.013140457868576
3,3390,1.0418255507946015
3,3400,0.9075987458229064
3,3410,0.9680667281150818
3,3420,1.117401909828186
3,3430,1.0099145472049713
3,3440,0.8598706483840942
3,3450,1.0183110058307647
3,3460,1.0128170430660248
3,3470,0.9748733639717102
3,3480,1.0163551926612855
3,3490,0.9164621591567993
3,3500,1.0887445092201233
3,3510,0.8776541292667389
3,3520,0.8529026985168457
3,3530,1.146986997127533
3,3540,0.9526163607835769
3,3550,0.933049488067627
3,3560,1.1667132735252381
3,3570,1.0800399482250214
3,3580,1.0794449508190156
3,3590,1.030370581150055
3,3600,1.143707525730133
3,3610,0.8873734295368194
3,3620,1.0724256098270417
3,3630,1.2624590396881104
3,3640,0.9406184792518616
3,3650,1.0466028869152069
3,3660,1.048282217979431
3,3670,1.0143901526927948
3,3680,0.866164231300354
3,3690,0.9263634026050568
3,3700,0.9959107756614685
3,3710,0.9592994093894959
3,3720,1.033527773618698
3,3730,0.9212723433971405
3,3740,1.0471547603607179
3,3750,0.9989483833312989
3,3760,0.9949061512947083
3,3770,0.895139467716217
3,3780,0.9081897974014282
3,3790,1.0238664627075196
3,3800,1.0326249420642852
3,3810,0.9449077486991883
3,3820,0.9475748896598816
3,3830,1.0145596146583558
3,3840,0.9500219285488128
3,3850,1.022291374206543
3,3860,0.8465849608182907
3,3870,1.0663852572441102
3,3880,1.0530496954917907
3,3890,1.0008963286876678
3,3900,0.9202154159545899
3,3910,1.0060594856739045
3,3920,0.916705060005188
3,3930,0.9840030133724212
3,3940,1.01263946890831
3,3950,1.050779128074646
3,3960,1.032022351026535
3,3970,1.033603274822235
3,3980,0.8849402666091919
3,3990,1.0702995538711548
3,4000,1.0484347641468048
3,4010,0.9816158711910248
3,4020,0.9749886870384217
3,4030,1.0724821388721466
3,4040,1.0132384479045868
3,4050,1.0731995761394502
