Epochs,Iterations,Loss
1,10,1.6452574014663697
1,20,1.2348713874816895
1,30,0.9854454219341278
1,40,0.7470977187156678
1,50,0.5667371153831482
1,60,0.6292048901319504
1,70,0.627315616607666
1,80,0.5644083887338638
1,90,0.5817379146814347
1,100,0.5797151088714599
1,110,0.5901826202869416
1,120,0.5662099957466126
1,130,0.5048304498195648
1,140,0.5586694031953812
1,150,0.5238952517509461
1,160,0.5876458078622818
1,170,0.5762291222810745
1,180,0.4905963659286499
1,190,0.5490172564983368
1,200,0.491379103064537
1,210,0.4302078276872635
1,220,0.7287535339593887
1,230,0.45139031708240507
1,240,0.615260460972786
1,250,0.4681870251893997
1,260,0.5228554606437683
1,270,0.5917408853769303
1,280,0.5075489789247513
1,290,0.5440356433391571
1,300,0.4864632964134216
1,310,0.4326034426689148
1,320,0.5064534336328507
1,330,0.6899521082639695
1,340,0.557029077410698
1,350,0.5796337932348251
1,360,0.6025771856307983
1,370,0.4914423882961273
1,380,0.5169138550758362
1,390,0.4686842828989029
1,400,0.5424116313457489
1,410,0.5308643341064453
1,420,0.39196520745754243
1,430,0.5021631062030792
1,440,0.40694629549980166
1,450,0.3720234572887421
1,460,0.5595081716775894
1,470,0.45646564960479735
1,480,0.5000165730714798
1,490,0.5197912871837616
1,500,0.4153957560658455
1,510,0.5408789813518524
1,520,0.4544417575001717
1,530,0.5742444813251495
1,540,0.4366829663515091
1,550,0.5015694767236709
1,560,0.4303646683692932
1,570,0.5183453500270844
1,580,0.5203166604042053
1,590,0.4408147156238556
1,600,0.5560765773057937
1,610,0.4255995362997055
1,620,0.5279512792825699
1,630,0.5161428928375245
1,640,0.41802418828010557
1,650,0.47091745436191557
1,660,0.4019950956106186
1,670,0.4760080397129059
1,680,0.4438884049654007
1,690,0.38398357629776003
1,700,0.4079910099506378
1,710,0.4456819474697113
1,720,0.5043864250183105
1,730,0.36499432027339934
1,740,0.5120572209358215
1,750,0.5768264323472977
1,760,0.4304039776325226
1,770,0.44383941888809203
1,780,0.354144760966301
1,790,0.3934346139431
1,800,0.40796655118465425
1,810,0.4366214007139206
1,820,0.3956803873181343
1,830,0.417076475918293
1,840,0.4561403006315231
1,850,0.4546945631504059
1,860,0.49591612815856934
1,870,0.4490543931722641
1,880,0.3972891211509705
1,890,0.39741951823234556
1,900,0.42581877410411834
1,910,0.4208321586251259
1,920,0.3990743160247803
1,930,0.3940318003296852
1,940,0.3957058072090149
1,950,0.4935386836528778
1,960,0.38588657677173616
1,970,0.4330499231815338
1,980,0.40443060398101804
1,990,0.47320168912410737
1,1000,0.41700532138347624
1,1010,0.4371079534292221
1,1020,0.4163700431585312
1,1030,0.3855213955044746
1,1040,0.424738185107708
1,1050,0.4071658656001091
1,1060,0.424627760052681
1,1070,0.4029710739850998
1,1080,0.42652054131031036
1,1090,0.4209868639707565
1,1100,0.4831959784030914
1,1110,0.3500143334269524
1,1120,0.31630845069885255
1,1130,0.3730055376887321
1,1140,0.44161411076784135
1,1150,0.39134009182453156
1,1160,0.41224971413612366
1,1170,0.3936178132891655
1,1180,0.3921200454235077
1,1190,0.4910993427038193
1,1200,0.43714890331029893
1,1210,0.4432671725749969
1,1220,0.32327874898910525
1,1230,0.49344827234745026
1,1240,0.4679599434137344
1,1250,0.397765251994133
1,1260,0.3794107556343079
1,1270,0.34420167952775954
1,1280,0.378492870926857
1,1290,0.3813434600830078
1,1300,0.3651348531246185
1,1310,0.35895614624023436
1,1320,0.45010084211826323
1,1330,0.4301991671323776
1,1340,0.4245460987091064
1,1350,0.3707759723067284
1,1360,0.3437048867344856
1,1370,0.519545441865921
1,1380,0.4279367059469223
1,1390,0.3722967356443405
1,1400,0.42619639337062837
1,1410,0.3892641603946686
1,1420,0.37015760987997054
1,1430,0.36565751433372495
1,1440,0.3169697687029839
1,1450,0.46097309291362765
1,1460,0.3668207496404648
1,1470,0.4170079678297043
1,1480,0.3731844872236252
1,1490,0.3855388194322586
1,1500,0.38473577201366427
1,1510,0.42977460026741027
1,1520,0.4405223324894905
1,1530,0.4066129356622696
1,1540,0.38915368914604187
1,1550,0.40196344554424285
1,1560,0.34663215577602385
1,1570,0.442428782582283
1,1580,0.36735520362854
1,1590,0.38632109612226484
1,1600,0.3575911015272141
1,1610,0.34219894409179685
