Epochs,Iterations,Loss
1,10,1.6720130145549774
1,20,1.321638250350952
1,30,1.137005376815796
1,40,1.118107759952545
1,50,0.8669218480587005
1,60,0.7824109375476838
1,70,0.9520659565925598
1,80,0.9009442150592804
1,90,0.6978343904018403
1,100,0.8444189190864563
1,110,0.7255695879459381
1,120,0.7080306470394134
1,130,0.8404108047485351
1,140,0.7302887558937072
1,150,0.7084551692008972
1,160,0.6117623776197434
1,170,0.7657315373420716
1,180,0.7368155539035797
1,190,0.5731890618801116
1,200,0.6509589314460754
1,210,0.7250049740076066
1,220,0.6608586758375168
1,230,0.5851228654384613
1,240,0.6457492560148239
1,250,0.6349362760782242
1,260,0.6377935498952866
1,270,0.6687739163637161
1,280,0.6592405587434769
1,290,0.6331043422222138
1,300,0.5808089315891266
1,310,0.6451095879077912
1,320,0.5452116340398788
1,330,0.6486063063144684
1,340,0.6649930506944657
1,350,0.564917054772377
1,360,0.57560293674469
1,370,0.6295880019664765
1,380,0.5481730014085769
1,390,0.5855976104736328
1,400,0.5437692165374756
1,410,0.47993754148483275
1,420,0.5444521456956863
1,430,0.6051823675632477
1,440,0.647875753045082
1,450,0.6169058054685592
1,460,0.6704699963331222
1,470,0.5329079151153564
1,480,0.6588765472173691
1,490,0.5728015393018723
1,500,0.4807294517755508
1,510,0.49618480205535886
1,520,0.49504893124103544
1,530,0.5294464081525803
1,540,0.5941838979721069
1,550,0.6318024963140487
1,560,0.5482957839965821
1,570,0.5313033878803253
1,580,0.4687649220228195
1,590,0.5164077341556549
1,600,0.4652621209621429
1,610,0.5200086325407028
1,620,0.5977935194969177
1,630,0.5105220049619674
1,640,0.5994586914777755
1,650,0.6296451330184937
1,660,0.5823889225721359
1,670,0.5232220202684402
1,680,0.6074503779411315
1,690,0.4540186434984207
1,700,0.5362461388111115
1,710,0.5018769890069962
1,720,0.4750498622655869
1,730,0.4738836228847504
1,740,0.472901713848114
1,750,0.4500910460948944
1,760,0.5364558041095734
1,770,0.4907995104789734
1,780,0.4188560783863068
1,790,0.5252590179443359
1,800,0.5552406042814255
1,810,0.47950661480426787
1,820,0.44313982129096985
